epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,146.71033,0.00010,11969.18968,2.89386,1.84133,2.77345,2.05901,0.00000,0.00000,0.00000,0.00000
2.00000,72.23784,0.00010,11891.77065,1.83341,1.40458,2.28212,1.90623,0.00000,0.00000,0.00000,0.00000
3.00000,57.44288,0.00010,11970.64092,1.59637,1.26865,2.12227,1.83825,0.00000,0.00000,0.00000,0.00000
4.00000,49.87979,0.00010,11915.11941,1.48155,1.18970,2.03036,1.80234,0.00000,0.00000,0.00000,0.00000
5.00000,45.15984,0.00010,11974.16698,1.41303,1.13637,2.15809,1.70852,0.00000,0.00000,0.00000,0.00000
6.00000,41.91292,0.00010,11914.21624,1.36700,1.09745,1.94477,1.71147,0.00000,0.00000,0.00000,0.00000
7.00000,39.49784,0.00010,11974.11403,1.33461,1.06633,2.34654,1.71692,0.00000,0.00000,0.00000,0.00000
8.00000,37.59373,0.00010,11979.40029,1.30549,1.04207,2.04121,1.66829,0.00000,0.00000,0.00000,0.00000
9.00000,36.01313,0.00010,11913.46650,1.26745,1.02113,1.89685,1.65475,0.00000,0.00000,0.00000,0.00000
10.00000,34.84850,0.00010,11975.46706,1.26054,1.00367,2.98084,1.64274,0.00000,0.00000,0.00000,0.00000
11.00000,33.78203,0.00010,11995.95751,1.24241,0.98848,1.95987,1.67726,0.00000,0.00000,0.00000,0.00000
12.00000,32.91341,0.00010,12998.57307,1.24112,0.97457,1.85760,1.64054,0.00000,0.00000,1.75997,1.60564
13.00000,32.25490,0.00010,11939.05833,1.23985,0.96448,2.29065,1.59725,0.00000,0.00000,0.00000,0.00000
14.00000,31.49820,0.00010,11996.49292,1.21454,0.95406,2.15708,1.60154,0.00000,0.00000,0.00000,0.00000
15.00000,30.99758,0.00010,12248.34637,1.21729,0.94510,1.93475,1.64768,0.00000,0.00000,0.00000,0.00000
16.00000,30.38884,0.00010,11958.63221,1.18996,0.93725,1.85340,1.60519,0.00000,0.00000,0.00000,0.00000
17.00000,29.95566,0.00010,11986.71675,1.18884,0.92987,1.83410,1.61591,0.00000,0.00000,0.00000,0.00000
18.00000,29.48849,0.00010,12020.78422,1.18316,0.92259,1.65059,1.55472,0.00000,0.00000,0.00000,0.00000
19.00000,29.12316,0.00010,11948.18120,1.17566,0.91625,3.10275,1.53969,0.00000,0.00000,0.00000,0.00000
20.00000,28.81373,0.00010,11958.61576,1.17567,0.91109,1.77200,1.62475,0.00000,0.00000,0.00000,0.00000
21.00000,28.44481,0.00010,11891.95166,1.15848,0.90558,2.14922,1.53424,0.00000,0.00000,0.00000,0.00000
22.00000,28.10013,0.00010,12883.41318,1.14460,0.90059,2.22644,1.52179,0.00000,0.00000,2.19718,1.49433
23.00000,27.87036,0.00010,12000.26213,1.16327,0.89589,1.83454,1.56636,0.00000,0.00000,0.00000,0.00000
24.00000,27.61719,0.00010,11962.82416,1.15155,0.89143,1.73824,1.55862,0.00000,0.00000,0.00000,0.00000
25.00000,27.43442,0.00010,11958.64462,1.15666,0.88778,1.72962,1.58272,0.00000,0.00000,0.00000,0.00000
26.00000,27.23385,0.00010,11958.55239,1.16397,0.88403,1.86580,1.50893,0.00000,0.00000,0.00000,0.00000
27.00000,27.04547,0.00010,11888.44530,1.14452,0.88128,1.92573,1.53898,0.00000,0.00000,0.00000,0.00000
28.00000,26.73340,0.00010,11900.38465,1.13264,0.87691,1.86810,1.52516,0.00000,0.00000,0.00000,0.00000
29.00000,26.62985,0.00010,11894.27973,1.14275,0.87399,2.78326,1.51477,0.00000,0.00000,0.00000,0.00000
30.00000,26.42325,0.00010,11893.91299,1.12840,0.87120,1.70927,1.54310,0.00000,0.00000,0.00000,0.00000
31.00000,26.21048,0.00010,11890.94156,1.12514,0.86775,2.78244,1.49289,0.00000,0.00000,0.00000,0.00000
32.00000,26.04370,0.00010,11902.94858,1.12478,0.86543,1.77383,1.55008,0.00000,0.00000,0.00000,0.00000
33.00000,25.96363,0.00010,11893.24093,1.13311,0.86250,1.67281,1.53201,0.00000,0.00000,0.00000,0.00000
